"Word","RTlexdec","RTnaming","Familiarity","WrittenFrequency","FamilySize","NounFrequency","VerbFrequency","Voice","AgeSubject"
"zone",589.360000000001,466.7,4.53,203,5.99999999999997,290,6,"voiced","young"
"face",522.500000000002,448.999999999998,5.97,8000.99999999996,52.9999999999999,8248,2438,"voiceless","young"
"chop",595.27,454.499999999998,3.6,132,10,102,349,"voiceless","young"
"sketch",602.030000000002,480.199999999999,3.93,155.000000000001,11,199,109,"voiceless","young"
"woe",608.120000000003,466.7,2.67,49.0000000000002,4,68,0,"voiced","young"
"light",552.17,456.000000000002,6.07,5154,74,5219,977,"voiced","young"
"fawn",666.15,469.500000000001,2.47,28.9999999999999,3,27,20,"voiceless","young"
"rite",686.759999999999,449.800000000002,3.27,58,9,144,0,"voiced","young"
"plough",677.879999999999,519.9,2.52,178.999999999999,8.00000000000003,118,285,"voiceless","young"
"jack",624.859999999997,452.600000000002,3.83,74,30.0000000000001,104,0,"voiced","young"
"back",560.229999999998,441.299999999999,5.8,22071.9999999995,115,3514,504,"voiced","young"
"chow",749.889999999999,472.500000000001,3.59,16,2,15,0,"voiceless","young"
"cent",646.720000000002,485.3,5.37,10039,2,5155,0,"voiceless","young"
"batch",610.640000000003,451.400000000002,3.4,72.0000000000003,2,91,0,"voiced","young"
"bitch",629.589999999997,474.199999999998,5.67,273,5.99999999999997,289,21,"voiced","young"
"fact",567.870000000001,445.499999999998,5.27,9131,5,10251,0,"voiceless","young"
"fence",622.54,468.000000000001,3.87,399.999999999999,4,537,45,"voiceless","young"
"string",582.999999999999,481.900000000001,4.53,407.999999999999,12,562,97,"voiceless","young"
"strife",677.670000000004,467.599999999999,2.8,111.999999999999,2,111,0,"voiceless","young"
"sprite",722.97,514.100000000001,4.3,6.99999999999998,2,10,0,"voiceless","young"
"herb",660.659999999997,453.199999999999,3.7,88.0000000000003,6.99999999999998,269,0,"voiceless","young"
"herd",634.96,452.5,3.13,178.000000000001,10,282,80,"voiceless","young"
"grove",690.359999999999,471.799999999998,2.8,144.999999999999,2,192,0,"voiced","young"
"wow",566.330000000003,464.6,5.5,36.9999999999998,2,1,0,"voiced","young"
"word",602.59,442.899999999999,6.52,3951.00000000004,27.9999999999999,8828,35,"voiced","young"
"sake",658.720000000003,477.800000000001,3.77,932.000000000008,4,909,0,"voiceless","young"
"knoll",709.769999999995,467.200000000001,2.4,33,2,35,0,"voiced","young"
"sash",684.560000000001,500.100000000001,2.56,42.0000000000001,4,53,0,"voiceless","young"
"aisle",662.810000000002,509.799999999997,4.1,130,2,174,0,"voiced","young"
"knife",518.53,437,4.73,663.999999999997,17.9999999999999,791,42,"voiced","young"
"flame",589.440000000002,508.300000000001,4.13,269,13,458,26,"voiceless","young"
"worm",569.310000000002,453.199999999999,3.17,134,19,302,27,"voiced","young"
"torque",677.500000000003,491.700000000003,2.6,38.0000000000002,2,38,0,"voiceless","young"
"sack",584.310000000001,476.599999999999,4.07,242.000000000001,10,320,176,"voiceless","young"
"hearth",622.849999999999,485.5,2.97,81.0000000000001,4,87,0,"voiceless","young"
"do",553.770000000001,462.2,6.47,38344.0000000012,17.9999999999999,18,80717,"voiced","young"
"flail",827.950000000006,501.799999999999,3,16,3,9,48,"voiceless","young"
"branch",584.569999999999,451.999999999999,4,962.000000000003,4,1678,53,"voiced","young"
"thought",546.43,497.200000000002,6.37,12867.0000000001,14,3434,0,"voiceless","young"
"theme",574.85,488.999999999999,4.47,497,3,657,0,"voiceless","young"
"grill",612.000000000002,469.7,4.33,79.9999999999999,4,51,104,"voiced","young"
"debt",600.430000000001,480.400000000001,4.5,454.000000000001,5,586,0,"voiced","young"
"eel",689.18,499.500000000001,2.6,79.9999999999999,3,146,0,"voiced","young"
"bowl",579.860000000003,475.499999999997,5.37,526,9,591,229,"voiced","young"
"book",577.330000000001,463.900000000001,6.72,4933.00000000001,60.9999999999999,7780,290,"voiced","young"
"sense",606.24,503,4.93,5149.99999999999,34.9999999999999,4909,706,"voiceless","young"
"flair",687.739999999998,500.7,3.06,55,2,54,0,"voiceless","young"
"swine",601.680000000002,472.000000000002,2.83,36.9999999999998,5.99999999999997,36,0,"voiceless","young"
"stance",658.12,490.399999999999,3.73,242.000000000001,2,268,0,"voiceless","young"
"church",563,459.8,4.23,2845,6.99999999999998,3287,1,"voiceless","young"
"boon",725.379999999998,467.3,2.03,716.000000000003,2,716,0,"voiced","young"
"stench",711.260000000002,526.5,3.6,76.9999999999997,2,78,0,"voiceless","young"
"blast",565.83,443.9,3.83,200.000000000001,6.99999999999998,195,126,"voiced","young"
"ear",541.930000000002,473.899999999999,5.53,752,22.0000000000001,1570,0,"voiced","young"
"draft",583.970000000002,459.300000000001,4.1,200.000000000001,5.99999999999997,218,105,"voiced","young"
"boss",558.859999999998,460.099999999999,4.57,413.999999999998,8.00000000000003,481,46,"voiced","young"
"lake",564.569999999999,440.599999999999,4.33,719.000000000002,2,889,0,"voiced","young"
"boot",586.73,464.9,4.83,160,15,702,7,"voiced","young"
"page",571.52,453.099999999999,5.97,1075,8.00000000000003,1761,8,"voiceless","young"
"psalm",707.689999999998,565.300000000003,3.03,40.0000000000001,4,51,0,"voiceless","young"
"pace",605.750000000003,477.3,3.57,630.000000000001,6.99999999999998,671,192,"voiceless","young"
"lace",602.730000000001,443.199999999998,3.33,191,9,226,82,"voiced","young"
"task",558.170000000001,460.200000000002,4,1175,5.99999999999997,1484,1,"voiceless","young"
"pawn",630.829999999999,476.099999999998,2.67,41.0000000000001,5.99999999999997,60,27,"voiceless","young"
"lawn",546.309999999999,444.299999999999,4.2,369.000000000001,3,482,0,"voiced","young"
"court",536.480000000001,472.399999999997,4.8,2277,24.0000000000001,2639,105,"voiceless","young"
"dwarf",623.64,503,3.03,130,4,197,47,"voiced","young"
"count",550.859999999998,448.999999999998,5.07,1394,17.0000000000001,973,1122,"voiceless","young"
"pack",619.039999999998,449.299999999998,4.83,480.000000000002,20,353,688,"voiceless","young"
"nonce",647,477.099999999999,1.27,3,3,2,0,"voiced","young"
"shame",572.66,412.299999999998,4.23,428.000000000001,14,419,40,"voiceless","young"
"stole",568.590000000001,472.800000000001,4.09,188,2,32,0,"voiceless","young"
"lass",785.65,459.400000000001,1.7,25,3,30,0,"voiced","young"
"freight",660.069999999998,522.999999999998,3.07,99.9999999999999,5.99999999999997,99,5,"voiceless","young"
"coke",545.17,446.800000000002,6.1,101,4,109,2,"voiceless","young"
"whack",643.209999999999,468.799999999999,3.24,23,5.99999999999997,9,30,"voiced","young"
"stunt",638.389999999998,496.300000000003,3.3,70.0000000000001,3,82,63,"voiceless","young"
"clause",740.000000000003,488.6,3.17,128,2,186,0,"voiceless","young"
"tact",650.749999999997,469.600000000001,3.5,76.9999999999997,6.99999999999998,76,0,"voiceless","young"
"pact",604.69,456.099999999998,3.33,330.000000000001,2,337,0,"voiceless","young"
"cowl",784.33,480.500000000001,1.33,5.99999999999997,3,5,5,"voiceless","young"
"verve",731.000000000001,497,2.17,10,2,9,0,"voiced","young"
"strap",629.479999999998,484.299999999998,3.7,91.9999999999999,9,153,104,"voiceless","young"
"piece",592.869999999997,462.5,5.47,2083,27.9999999999999,3078,26,"voiceless","young"
"cock",649.669999999997,482.400000000002,3.87,115.999999999999,31.0000000000001,128,122,"voiceless","young"
"pound",604.629999999999,457.100000000001,4.7,770,6.99999999999998,4691,160,"voiceless","young"
"fringe",656.22,493.400000000002,3.53,242.000000000001,3,298,67,"voiceless","young"
"coop",732.939999999997,476,2.63,4,3,9,0,"voiceless","young"
"school",561.899999999998,504.499999999998,6.07,6984.99999999998,28.9999999999999,9198,23,"voiceless","young"
"straw",605.110000000002,468.2,4.03,398.000000000001,5.99999999999997,441,0,"voiceless","young"
"mash",627.069999999997,443.999999999998,2.97,55,4,30,83,"voiced","young"
"nerve",616.380000000001,457.4,4.9,258.000000000001,16,325,11,"voiced","young"
"fraud",679.139999999998,480.900000000002,3.83,121,5.99999999999997,130,0,"voiceless","young"
"torch",597.719999999999,437.5,3.37,164,5.99999999999997,216,0,"voiceless","young"
"yawl",763.360000000003,476.999999999999,1.43,6.99999999999998,2,6,0,"voiced","young"
"mask",565.4,431.699999999999,3.67,254.000000000001,10,354,94,"voiced","young"
"fern",733.080000000003,479.300000000002,2.57,42.9999999999999,4,90,0,"voiceless","young"
"glass",557.250000000001,469.399999999998,5.6,2247,23,2595,0,"voiced","young"
"brake",612.999999999999,447.6,4.8,81.9999999999997,6.99999999999998,143,58,"voiced","young"
"hose",628.140000000001,466.500000000001,3,67.0000000000003,8.00000000000003,72,13,"voiceless","young"
"hood",621.000000000001,456.499999999999,4.07,81.9999999999997,30.0000000000001,106,11,"voiceless","young"
"chain",586.869999999998,445.300000000001,4.17,585.999999999999,14,869,106,"voiceless","young"
"dose",641.21,455.900000000002,3.9,120.000000000001,5,192,16,"voiced","young"
"mass",599.5,436.800000000002,4.81,1902.00000000001,11,1975,66,"voiced","young"
"knee",553.71,470.099999999998,4.6,527.999999999999,12,1487,2,"voiced","young"
"clamp",661.209999999999,490.300000000001,3.31,32.0000000000001,4,29,79,"voiceless","young"
"duel",610.57,461.1,3.43,62.9999999999998,5,66,24,"voiced","young"
"brace",623.450000000003,472.500000000001,3.1,57,6.99999999999998,32,106,"voiced","young"
"champ",675.109999999999,459.8,3.47,3,3,3,6,"voiceless","young"
"mast",649.499999999997,457.200000000002,2.3,47.0000000000001,10,60,0,"voiced","young"
"hoof",646.15,483.700000000001,2.33,41.0000000000001,2,137,0,"voiceless","young"
"hump",697.68,450.599999999998,3.33,63.9999999999999,5,66,71,"voiceless","young"
"snag",621.809999999998,470.400000000001,3.13,47.9999999999999,3,71,15,"voiceless","young"
"chair",549.07,444.799999999999,5.67,1877,17.0000000000001,2441,71,"voiceless","young"
"rod",590.679999999998,459.200000000001,2.97,504,6.99999999999998,664,0,"voiced","young"
"brawn",829.749999999996,474.599999999999,2.5,11,4,10,0,"voiced","young"
"roe",701.500000000003,465.000000000002,2.07,25,3,29,0,"voiced","young"
"orb",776.579999999999,457.100000000001,1.77,9,2,15,0,"voiced","young"
"hook",553.62,446.499999999998,3.93,552.000000000003,17.9999999999999,670,299,"voiceless","young"
"shoe",571.109999999996,423.699999999998,5.7,254.000000000001,17.0000000000001,1417,20,"voiceless","young"
"berth",700.070000000002,469.399999999998,2.03,69,4,81,5,"voiced","young"
"doom",594.759999999998,459.699999999999,3.38,97.9999999999998,4,95,189,"voiced","young"
"ore",685.330000000001,460.099999999999,2.53,56,3,84,0,"voiced","young"
"dock",601.719999999998,447.099999999998,3.2,204.000000000001,9,297,50,"voiced","young"
"dime",589.549999999999,422.600000000002,5.47,67.0000000000003,2,82,0,"voiced","young"
"brass",618.569999999998,461.1,3.33,340.000000000001,6.99999999999998,347,0,"voiced","young"
"hoop",577.629999999999,472.9,3.5,27.9999999999999,3,55,5,"voiceless","young"
"serf",702.439999999997,472.800000000001,2.23,6.99999999999998,3,23,0,"voiceless","young"
"lye",786.239999999996,465.299999999999,2.63,17.9999999999999,2,17,0,"voiced","young"
"gene",687.739999999998,492.400000000001,4.03,114.000000000001,2,340,0,"voiced","young"
"filth",682.810000000003,504.399999999998,3.3,101,5,100,0,"voiceless","young"
"vase",639.759999999997,488.800000000002,3.13,72.0000000000003,2,127,0,"voiced","young"
"door",594.700000000001,454.200000000001,6.07,5891.99999999999,28.9999999999999,6924,0,"voiced","young"
"host",632.799999999997,468.099999999998,4.3,369.000000000001,5,480,14,"voiceless","young"
"rake",614.529999999999,445.400000000001,3,52.9999999999999,10,33,102,"voiced","young"
"lug",624.09,443.300000000001,3.3,14,12,2,45,"voiced","young"
"lid",614.86,462.2,4.27,247.000000000001,5,331,0,"voiced","young"
"rash",601.999999999999,454.900000000001,3.1,184.999999999999,5.99999999999997,144,0,"voiced","young"
"rage",584.38,444.400000000002,3.47,534.999999999996,8.00000000000003,535,238,"voiced","young"
"race",553.71,446.199999999999,4.77,1383,31.0000000000001,1564,389,"voiced","young"
"lee",720.649999999999,454.000000000001,3,309.000000000001,8.00000000000003,308,0,"voiced","young"
"lad",571.330000000001,446.600000000001,3,187.000000000001,3,356,0,"voiced","young"
"shop",603.319999999999,441.900000000002,5.43,1526,27.9999999999999,2281,146,"voiceless","young"
"thong",697.410000000001,493.999999999999,3.13,12,2,24,0,"voiceless","young"
"point",566.169999999998,475.499999999997,5.47,7223.00000000002,33.9999999999999,7785,2360,"voiceless","young"
"leg",553.140000000001,434.999999999998,5.47,1138,24.0000000000001,3140,10,"voiced","young"
"dial",596.37,458.100000000002,5.07,76.9999999999997,5,79,144,"voiced","young"
"guild",716.730000000001,505.500000000002,2.17,110,3,138,0,"voiced","young"
"shot",552.290000000001,423.2,5,1539,20,1081,0,"voiceless","young"
"launch",571.710000000003,454.8,3.2,290.999999999999,4,174,702,"voiced","young"
"guile",740.439999999997,504.2,1.9,27,10,26,0,"voiced","young"
"rack",611.719999999999,446.800000000002,4.3,152.000000000001,11,188,65,"voiced","young"
"rasp",701.930000000004,435.599999999998,2.2,10,4,10,20,"voiced","young"
"foe",644.389999999999,474.300000000002,2.93,250.000000000001,2,259,0,"voiceless","young"
"thorn",617.449999999999,465.600000000001,3.6,90.0000000000005,6.99999999999998,151,0,"voiceless","young"
"mood",560.770000000001,450.599999999998,5.23,820.000000000001,5,932,0,"voiced","young"
"fog",596.470000000002,479.700000000001,3.72,168.999999999999,13,177,2,"voiceless","young"
"lip",616.650000000002,445.599999999998,4.93,305,8.00000000000003,1401,0,"voiced","young"
"wrack",613.31,491,1.93,5.99999999999997,2,5,0,"voiced","young"
"lap",640.039999999998,454.499999999998,4.2,334,9,353,70,"voiced","young"
"tweed",577.079999999999,495.100000000001,2.48,89,3,92,0,"voiceless","young"
"sauce",588.040000000002,489.200000000001,4.87,273,9,320,1,"voiceless","young"
"snail",617.790000000002,522.099999999996,3.3,47.0000000000001,2,80,0,"voiceless","young"
"draught",666.409999999996,492.000000000001,3.13,129,8.00000000000003,164,0,"voiced","young"
"moon",562.59,442.000000000001,4.57,951.999999999995,17.0000000000001,1058,0,"voiced","young"
"law",599.330000000001,447.2,4.9,2983.99999999999,22.0000000000001,4021,0,"voiced","young"
"mime",755.830000000002,456.099999999998,2.43,50.0000000000002,9,50,34,"voiced","young"
"guilt",651.229999999997,468.399999999999,4.57,654.000000000001,8.00000000000003,653,0,"voiced","young"
"moss",592.070000000002,445.7,2.87,115,4,138,0,"voiced","young"
"grace",576.3,478.899999999998,3.37,373.999999999999,17.9999999999999,401,19,"voiced","young"
"wage",593.26,448.399999999998,3.43,443.999999999998,9,427,77,"voiced","young"
"fox",523.689999999999,461.1,3.4,178.000000000001,15,277,7,"voiceless","young"
"perk",680.309999999997,468.300000000002,3.3,15,6.99999999999998,33,12,"voiceless","young"
"sphere",600.630000000001,492.400000000001,3.63,250.999999999999,5.99999999999997,365,0,"voiceless","young"
"wasp",596.1,455,3.13,44,5.99999999999997,107,0,"voiced","young"
"shelf",584.17,431.000000000001,4.44,247.000000000001,5,495,0,"voiceless","young"
"grass",580.699999999998,468.099999999998,5,1484.00000000001,10,1629,8,"voiced","young"
"nose",586.800000000002,469.600000000001,4.63,1307.99999999999,22.0000000000001,1454,27,"voiced","young"
"lens",624.469999999997,457.600000000001,4.23,115.999999999999,2,229,0,"voiced","young"
"food",540.070000000003,508.900000000002,6.48,4552.99999999999,5,5317,0,"voiceless","young"
"witch",573.590000000002,451.400000000002,3.37,280,10,566,0,"voiced","young"
"voice",511.299999999998,458.900000000001,5.13,4160,5.99999999999997,4823,65,"voiced","young"
"tent",571.619999999999,445.2,3.2,658.000000000002,4,785,0,"voiceless","young"
"squire",700.250000000001,509.9,2.57,63.9999999999999,4,84,6,"voiceless","young"
"lurch",754.260000000004,457.500000000002,2.43,40.0000000000001,5,36,126,"voiced","young"
"leash",591.9,465.399999999999,4.3,15,3,16,0,"voiced","young"
"fuel",555.270000000003,491.499999999999,4.77,829.000000000004,4,1074,84,"voiceless","young"
"cramp",627.290000000001,484.999999999998,4.1,49.0000000000002,3,59,39,"voiceless","young"
"spell",495.379999999998,500.500000000003,4.33,386,9,334,319,"voiceless","young"
"shell",598.309999999998,431.800000000001,3.83,519.000000000001,14,831,71,"voiceless","young"
"noise",548.839999999997,454.399999999999,5.57,1143,8.00000000000003,1386,0,"voiced","young"
"jowl",718.929999999998,484.999999999998,1.67,11,3,29,0,"voiced","young"
"fowl",595.499999999997,473.800000000003,2.87,36.9999999999998,10,50,1,"voiceless","young"
"dirge",684.819999999998,482.5,1.97,6.99999999999998,2,8,0,"voiced","young"
"roost",636.890000000002,472.800000000001,2.33,38.0000000000002,5,15,34,"voiced","young"
"nook",740.889999999999,457.3,2.4,15,2,24,0,"voiced","young"
"fool",519.409999999998,477.899999999999,4.33,644.999999999998,14,746,155,"voiceless","young"
"swamp",598.129999999998,483.1,3.21,85.0000000000003,4,134,74,"voiceless","young"
"paunch",738.920000000003,509.199999999999,1.67,30.0000000000001,4,30,0,"voiceless","young"
"noon",578.209999999998,452.400000000002,5.87,290.999999999999,9,290,0,"voiced","young"
"quart",678.519999999999,493.1,3.83,57,17.0000000000001,63,0,"voiceless","young"
"foot",604.530000000005,469.600000000001,5.6,1798.00000000001,66.0000000000003,5857,60,"voiceless","young"
"fluke",610.560000000002,491,3.37,47.0000000000001,3,49,0,"voiceless","young"
"tripe",668.099999999999,474.699999999999,1.8,17.9999999999999,2,17,0,"voiceless","young"
"cape",586.570000000001,461.800000000002,3.1,279.000000000001,2,292,0,"voiceless","young"
"prize",583.899999999999,463.900000000001,4.4,409.999999999999,11,469,129,"voiceless","young"
"calf",626.539999999999,479.499999999998,3.13,187.000000000001,5.99999999999997,369,0,"voiceless","young"
"sub",786.569999999998,471.100000000002,4.67,14,52.9999999999999,21,16,"voiceless","young"
"cinch",737.449999999999,515.399999999998,3.24,10,3,9,0,"voiceless","young"
"sea",558.100000000001,469.9,4.45,2873,56,3102,0,"voiceless","young"
"quince",783.670000000001,490.099999999999,1.67,5,2,8,0,"voiceless","young"
"drove",672.180000000002,484.400000000002,5.53,1139,3,36,0,"voiced","young"
"suit",625.669999999998,469.600000000001,4.67,1107,20,937,840,"voiceless","young"
"gown",661.539999999997,494.600000000002,3.55,166,5,218,5,"voiced","young"
"verb",640.139999999997,479.2,3.87,42.9999999999999,17.0000000000001,58,0,"voiced","young"
"goon",828.669999999997,492.099999999999,2.45,5.99999999999997,2,10,0,"voiced","young"
"blood",574.390000000003,480.500000000001,4.63,2537,50.0000000000002,2538,18,"voiced","young"
"smelt",724.809999999996,524.599999999998,2.63,129,3,5,22,"voiceless","young"
"bloke",760.180000000003,477.199999999999,2.2,115.999999999999,2,154,0,"voiced","young"
"stair",567.999999999999,489.200000000001,4.97,51.0000000000002,9,66,0,"voiceless","young"
"slough",711.83,500.500000000003,2.2,10,3,13,0,"voiceless","young"
"sum",588.249999999999,456.099999999998,3.8,568.999999999999,3,864,0,"voiceless","young"
"mob",588.79,434.6,3.27,191,4,239,11,"voiced","young"
"sun",557.26,470.9,5.73,2689.99999999999,50.0000000000002,2728,19,"voiceless","young"
"soot",754.840000000004,509.1,2.1,34.9999999999999,4,34,0,"voiceless","young"
"sup",585.400000000003,473.199999999999,2.53,14,5,1,22,"voiceless","young"
"myth",577.920000000003,453.199999999999,3.97,357,5.99999999999997,503,0,"voiced","young"
"flour",572.329999999999,476.199999999999,3.83,462.999999999998,6.99999999999998,462,38,"voiceless","young"
"bloom",570.409999999999,474.799999999999,3.58,103,5.99999999999997,101,64,"voiced","young"
"print",573.129999999999,484.799999999998,5.03,466.000000000002,24.0000000000001,481,635,"voiceless","young"
"block",512.300000000002,453.099999999999,4.4,680.999999999999,20,976,425,"voiced","young"
"hound",641.499999999999,476.099999999998,3.23,42.0000000000001,10,129,36,"voiceless","young"
"sir",666.11,483.700000000001,4.67,1018,2,1017,0,"voiceless","young"
"sap",691.16,483.5,2.93,47.9999999999999,9,40,31,"voiceless","young"
"scout",664.959999999995,508.100000000002,3.3,65.0000000000002,4,116,18,"voiceless","young"
"set",584.789999999998,474.300000000002,5.2,6688.00000000001,39.0000000000001,1866,5630,"voiceless","young"
"mom",597.600000000002,443.9,6.2,99,2,100,0,"voiced","young"
"date",530.230000000001,445,5.33,1073,14,1134,442,"voiced","young"
"realm",637.650000000001,482.700000000001,3,178.000000000001,2,205,0,"voiced","young"
"gab",717.580000000002,469.9,2.73,3,2,2,0,"voiced","young"
"dale",776.410000000005,469.7,2,36,3,65,0,"voiced","young"
"mop",630.339999999998,444.200000000001,3.63,75,4,49,102,"voiced","young"
"sex",564.450000000002,469.999999999998,5.9,2217,33,2391,7,"voiceless","young"
"saw",547.429999999998,464.500000000003,5.53,6944.99999999997,17.0000000000001,26,62,"voiceless","young"
"pump",606.250000000004,477.499999999997,4.03,272.000000000001,6.99999999999998,336,312,"voiceless","young"
"lump",626.899999999998,447.5,3.63,233,6.99999999999998,329,49,"voiced","young"
"sax",716.360000000001,461.500000000001,2.9,5.99999999999997,2,5,0,"voiceless","young"
"night",590.460000000001,462.699999999998,6.13,7671.99999999997,50.0000000000002,8308,0,"voiced","young"
"gig",749.289999999996,492.000000000001,3.33,11,3,14,0,"voiced","young"
"latch",582.960000000002,469.399999999998,3.23,47.0000000000001,4,34,34,"voiced","young"
"gag",703.75,461.500000000001,3.27,34.9999999999999,3,35,54,"voiced","young"
"gum",628.480000000002,468.300000000002,5.59,93.0000000000004,11,154,28,"voiced","young"
"town",572.889999999998,443.699999999999,4.97,3328.99999999999,19,4005,0,"voiceless","young"
"tool",531,458.000000000002,4.28,292,4,800,30,"voiceless","young"
"pool",579.520000000001,468.799999999999,4.23,621.000000000001,5.99999999999997,733,94,"voiceless","young"
"limb",547.569999999998,452.5,3.88,137.999999999999,4,436,0,"voiced","young"
"hall",579.34,460.300000000002,5.33,2161.00000000001,10,2387,0,"voiceless","young"
"gun",578.119999999999,463.400000000002,4.87,1139,34.9999999999999,1771,0,"voiced","young"
"loom",693.889999999999,453.099999999999,2.7,52.9999999999999,6.99999999999998,35,172,"voiced","young"
